Database Name																																																												
Database Location																																																													
Evaluation GUID																																																													
Plate Name																																																													
Measurement																																																													
Evaluation																																																													
																																																													
[Data]																																																													
Row	Column	Plane	Timepoint	Cell - Number of Objects	Cell - Nucleus Area [åµmå_] - Mean per Well	Cell - Nucleus Area [åµmå_] - StdDev per Well	Cell - Nucleus Area [åµmå_] - Sum per Well	Cell - Nucleus Area [åµmå_] - Max per Well	Cell - Nucleus Area [åµmå_] - Min per Well	Cell - Nucleus Area [åµmå_] - Median per Well	Cell - Edu Median - Mean per Well	Cell - Edu Median - StdDev per Well	Cell - Edu Median - Sum per Well	Cell - Edu Median - Max per Well	Cell - Edu Median - Min per Well	Cell - Edu Median - Median per Well	Cell - Oct4 Median - Mean per Well	Cell - Oct4 Median - StdDev per Well	Cell - Oct4 Median - Sum per Well	Cell - Oct4 Median - Max per Well	Cell - Oct4 Median - Min per Well	Cell - Oct4 Median - Median per Well	Cell - Intensity Nucleus DAPI Median - Mean per Well	Cell - Intensity Nucleus DAPI Median - StdDev per Well	Cell - Intensity Nucleus DAPI Median - Sum per Well	Cell - Intensity Nucleus DAPI Median - Max per Well	Cell - Intensity Nucleus DAPI Median - Min per Well	Cell - Intensity Nucleus DAPI Median - Median per Well	Cell - Number of Cell- per clump - Sum  - Mean per Well	Cell - Number of Cell- per clump - Sum  - StdDev per Well	Cell - Number of Cell- per clump - Sum  - Sum per Well	Cell - Number of Cell- per clump - Sum  - Max per Well	Cell - Number of Cell- per clump - Sum  - Min per Well	Cell - Number of Cell- per clump - Sum  - Median per Well	Cell - Cell Area [åµmå_] (2) - Mean per Well	Cell - Cell Area [åµmå_] (2) - StdDev per Well	Cell - Cell Area [åµmå_] (2) - Sum per Well	Cell - Cell Area [åµmå_] (2) - Max per Well	Cell - Cell Area [åµmå_] (2) - Min per Well	Cell - Cell Area [åµmå_] (2) - Median per Well	Cell - Cell Roundness - Mean per Well	Cell - Cell Roundness - StdDev per Well	Cell - Cell Roundness - Sum per Well	Cell - Cell Roundness - Max per Well	Cell - Cell Roundness - Min per Well	Cell - Cell Roundness - Median per Well	Cell - Cell Ratio Width to Length - Mean per Well	Cell - Cell Ratio Width to Length - StdDev per Well	Cell - Cell Ratio Width to Length - Sum per Well	Cell - Cell Ratio Width to Length - Max per Well	Cell - Cell Ratio Width to Length - Min per Well	Cell - Cell Ratio Width to Length - Median per Well	Nuclei - Number of Objects	Singles - Number of Objects	Number of Analyzed Fields	Height [åµm]	Time [s]	Compound	Concentration	Cell Type	Cell Count
1	1																																																								0	FN	1	FFDJ_1	3000
1	2																																																								0	FN	1	FFDJ_1	3000
1	3																																																								0	FN	1	FFDJ_1	3000
1	4																																																								0	FN	5	FFDJ_1	3000
1	5																																																								0	FN	5	FFDJ_1	3000
1	6																																																								0	FN	5	FFDJ_1	3000
1	7																																																								0	FN	25	FFDJ_1	3000
1	8																																																								0	FN	25	FFDJ_1	3000
1	9																																																								0	FN	25	FFDJ_1	3000
1	10																																																								0	FN	0	FFDJ_1	3000
1	11																																																								0	FN	0	FFDJ_1	3000
1	12																																																								0	FN	0	FFDJ_1	3000
2	1																																																								0	FN	1	FPDJ_3	3000
2	2																																																								0	FN	1	FPDJ_3	3000
2	3																																																								0	FN	1	FPDJ_3	3000
2	4																																																								0	FN	5	FPDJ_3	3000
2	5																																																								0	FN	5	FPDJ_3	3000
2	6																																																								0	FN	5	FPDJ_3	3000
2	7																																																								0	FN	25	FPDJ_3	3000
2	8																																																								0	FN	25	FPDJ_3	3000
2	9																																																								0	FN	25	FPDJ_3	3000
2	10																																																								0	FN	0	FPDJ_3	3000
2	11																																																								0	FN	0	FPDJ_3	3000
2	12																																																								0	FN	0	FPDJ_3	3000
